"city","method","threshold","cost_loss_ratio","pev"
"Amsterdam","EMOS",20,0.01,-1.38766891891892
"Amsterdam","EMOS",20,0.03,0.0310623123123122
"Amsterdam","EMOS",20,0.05,0.305461711711712
"Amsterdam","EMOS",20,0.07,0.462194337194337
"Amsterdam","EMOS",20,0.09,0.461350293542074
"Amsterdam","EMOS",20,0.11,0.428928736339849
"Amsterdam","EMOS",20,0.13,0.403912769642576
"Amsterdam","EMOS",20,0.15,0.355157131345689
"Amsterdam","EMOS",20,0.17,0.313541838587226
"Amsterdam","EMOS",20,0.19,0.299044478268223
"Amsterdam","EMOS",20,0.21,0.283422923530432
"Amsterdam","EMOS",20,0.23,0.278864970645793
"Amsterdam","EMOS",20,0.25,0.275114155251142
"Amsterdam","EMOS",20,0.27,0.275520735597673
"Amsterdam","EMOS",20,0.29,0.270885587497588
"Amsterdam","EMOS",20,0.31,0.253623188405797
"Amsterdam","EMOS",20,0.33,0.251942343079125
"Amsterdam","EMOS",20,0.35,0.240252897787144
"Amsterdam","EMOS",20,0.37,0.231898238747554
"Amsterdam","EMOS",20,0.39,0.216595553559398
"Amsterdam","EMOS",20,0.41,0.206988623171581
"Amsterdam","EMOS",20,0.43,0.204518144676761
"Amsterdam","EMOS",20,0.45,0.198941469489415
"Amsterdam","EMOS",20,0.47,0.197531661928147
"Amsterdam","EMOS",20,0.49,0.189027665860865
"Amsterdam","QR",20,0.01,-1.63541666666667
"Amsterdam","QR",20,0.03,-0.105198948948949
"Amsterdam","QR",20,0.05,0.252815315315315
"Amsterdam","QR",20,0.07,0.423584298584299
"Amsterdam","QR",20,0.09,0.427781122986602
"Amsterdam","QR",20,0.11,0.396837001693089
"Amsterdam","QR",20,0.13,0.352897181546213
"Amsterdam","QR",20,0.15,0.349919419822724
"Amsterdam","QR",20,0.17,0.327157946855917
"Amsterdam","QR",20,0.19,0.317605276509386
"Amsterdam","QR",20,0.21,0.281862320097104
"Amsterdam","QR",20,0.23,0.283045721401886
"Amsterdam","QR",20,0.25,0.275114155251142
"Amsterdam","QR",20,0.27,0.270594858322387
"Amsterdam","QR",20,0.29,0.264373914721204
"Amsterdam","QR",20,0.31,0.261862219575144
"Amsterdam","QR",20,0.33,0.245246370885299
"Amsterdam","QR",20,0.35,0.241306638566913
"Amsterdam","QR",20,0.37,0.225266362252664
"Amsterdam","QR",20,0.39,0.221536043117
"Amsterdam","QR",20,0.41,0.211167866264221
"Amsterdam","QR",20,0.43,0.2070415765441
"Amsterdam","QR",20,0.45,0.189912826899128
"Amsterdam","QR",20,0.47,0.187645386404756
"Amsterdam","QR",20,0.49,0.185737308622079
"Amsterdam","RF",20,0.01,-1.00365990990991
"Amsterdam","RF",20,0.03,0.0803303303303302
"Amsterdam","RF",20,0.05,0.353603603603604
"Amsterdam","RF",20,0.07,0.51596685971686
"Amsterdam","RF",20,0.09,0.512720156555773
"Amsterdam","RF",20,0.11,0.470871171309835
"Amsterdam","RF",20,0.13,0.435403873405763
"Amsterdam","RF",20,0.15,0.415995165189363
"Amsterdam","RF",20,0.17,0.401964020465423
"Amsterdam","RF",20,0.19,0.379037713512599
"Amsterdam","RF",20,0.21,0.357638286804231
"Amsterdam","RF",20,0.23,0.336105675146771
"Amsterdam","RF",20,0.25,0.312785388127854
"Amsterdam","RF",20,0.27,0.290251454306624
"Amsterdam","RF",20,0.29,0.260322207215898
"Amsterdam","RF",20,0.31,0.246277546158428
"Amsterdam","RF",20,0.33,0.245195256593744
"Amsterdam","RF",20,0.35,0.236564805057956
"Amsterdam","RF",20,0.37,0.210752337464666
"Amsterdam","RF",20,0.39,0.207556703346059
"Amsterdam","RF",20,0.41,0.189865335500348
"Amsterdam","RF",20,0.43,0.177962028358568
"Amsterdam","RF",20,0.45,0.168742216687422
"Amsterdam","RF",20,0.47,0.15339881106229
"Amsterdam","RF",20,0.49,0.151625033575074
"Amsterdam","RAW",20,0.01,-3.94244604316547
"Amsterdam","RAW",20,0.03,-0.726618705035971
"Amsterdam","RAW",20,0.05,-0.0437188710570004
"Amsterdam","RAW",20,0.07,0.257016364930034
"Amsterdam","RAW",20,0.09,0.295988258317025
"Amsterdam","RAW",20,0.11,0.287363398491612
"Amsterdam","RAW",20,0.13,0.282239017477563
"Amsterdam","RAW",20,0.15,0.273166800966962
"Amsterdam","RAW",20,0.17,0.263987456676019
"Amsterdam","RAW",20,0.19,0.254693049213597
"Amsterdam","RAW",20,0.21,0.245274839604647
"Amsterdam","RAW",20,0.23,0.237769080234834
"Amsterdam","RAW",20,0.25,0.226027397260274
"Amsterdam","RAW",20,0.27,0.219975605179208
"Amsterdam","RAW",20,0.29,0.217200463052286
"Amsterdam","RAW",20,0.31,0.205529084772682
"Amsterdam","RAW",20,0.33,0.204252709057453
"Amsterdam","RAW",20,0.35,0.197839831401475
"Amsterdam","RAW",20,0.37,0.193248532289628
"Amsterdam","RAW",20,0.39,0.187570177408489
"Amsterdam","RAW",20,0.41,0.181100534014395
"Amsterdam","RAW",20,0.43,0.177841864936314
"Amsterdam","RAW",20,0.45,0.174346201743462
"Amsterdam","RAW",20,0.47,0.167162057379168
"Amsterdam","RAW",20,0.49,0.16310770883696
"Amsterdam","RAW",20,0.01,-3.94244604316547
"Amsterdam","RAW",20,0.03,-0.726618705035971
"Amsterdam","RAW",20,0.05,-0.0437188710570004
"Amsterdam","RAW",20,0.07,0.257016364930034
"Amsterdam","RAW",20,0.09,0.295988258317025
"Amsterdam","RAW",20,0.11,0.287363398491612
"Amsterdam","RAW",20,0.13,0.282239017477563
"Amsterdam","RAW",20,0.15,0.273166800966962
"Amsterdam","RAW",20,0.17,0.263987456676019
"Amsterdam","RAW",20,0.19,0.254693049213597
"Amsterdam","RAW",20,0.21,0.245274839604647
"Amsterdam","RAW",20,0.23,0.237769080234834
"Amsterdam","RAW",20,0.25,0.226027397260274
"Amsterdam","RAW",20,0.27,0.219975605179208
"Amsterdam","RAW",20,0.29,0.217200463052286
"Amsterdam","RAW",20,0.31,0.205529084772682
"Amsterdam","RAW",20,0.33,0.204252709057453
"Amsterdam","RAW",20,0.35,0.197839831401475
"Amsterdam","RAW",20,0.37,0.193248532289628
"Amsterdam","RAW",20,0.39,0.187570177408489
"Amsterdam","RAW",20,0.41,0.181100534014395
"Amsterdam","RAW",20,0.43,0.177841864936314
"Amsterdam","RAW",20,0.45,0.174346201743462
"Amsterdam","RAW",20,0.47,0.167162057379168
"Amsterdam","RAW",20,0.49,0.16310770883696
"Amsterdam","RAW",25,0.01,0.0703463203463203
"Amsterdam","RAW",25,0.03,0.0335051546391753
"Amsterdam","RAW",25,0.05,0.0338345864661654
"Amsterdam","RAW",25,0.07,0.0330261136712749
"Amsterdam","RAW",25,0.09,0.032182103610675
"Amsterdam","RAW",25,0.11,0.0313001605136437
"Amsterdam","RAW",25,0.13,0.0357142857142858
"Amsterdam","RAW",25,0.15,0.0357142857142858
"Amsterdam","RAW",25,0.17,0.0357142857142856
"Amsterdam","RAW",25,0.19,0.0357142857142857
"Amsterdam","RAW",25,0.21,0.0357142857142857
"Amsterdam","RAW",25,0.23,0.0357142857142857
"Amsterdam","RAW",25,0.25,0.0357142857142857
"Amsterdam","RAW",25,0.27,0.0357142857142857
"Amsterdam","RAW",25,0.29,0.0357142857142858
"Amsterdam","RAW",25,0.31,0.0357142857142858
"Amsterdam","RAW",25,0.33,0.0357142857142858
"Amsterdam","RAW",25,0.35,0.0357142857142856
"Amsterdam","RAW",25,0.37,0.0357142857142857
"Amsterdam","RAW",25,0.39,0.0357142857142857
"Amsterdam","RAW",25,0.41,0.0357142857142857
"Amsterdam","RAW",25,0.43,0.0357142857142857
"Amsterdam","RAW",25,0.45,0.0357142857142858
"Amsterdam","RAW",25,0.47,0.0357142857142858
"Amsterdam","RAW",25,0.49,0.0357142857142858
"Rotterdam","EMOS",20,0.01,-7.98473044562169
"Rotterdam","EMOS",20,0.03,-2.58429417263945
"Rotterdam","EMOS",20,0.05,-1.23745715176067
"Rotterdam","EMOS",20,0.07,-0.613942928371099
"Rotterdam","EMOS",20,0.09,-0.285239430767633
"Rotterdam","EMOS",20,0.11,-0.0507946400747897
"Rotterdam","EMOS",20,0.13,0.0775702950835391
"Rotterdam","EMOS",20,0.15,0.194972473252311
"Rotterdam","EMOS",20,0.17,0.255383739683142
"Rotterdam","EMOS",20,0.19,0.227102167784582
"Rotterdam","EMOS",20,0.21,0.20478421210007
"Rotterdam","EMOS",20,0.23,0.183699764802127
"Rotterdam","EMOS",20,0.25,0.175328083989501
"Rotterdam","EMOS",20,0.27,0.164966023082731
"Rotterdam","EMOS",20,0.29,0.16000887213042
"Rotterdam","EMOS",20,0.31,0.151203925596257
"Rotterdam","EMOS",20,0.33,0.142719473498649
"Rotterdam","EMOS",20,0.35,0.135311932162326
"Rotterdam","EMOS",20,0.37,0.131283589551306
"Rotterdam","EMOS",20,0.39,0.124925777720408
"Rotterdam","EMOS",20,0.41,0.120726010943547
